Time,APP,Intention,Event
2024-10-30 10:44:53.647,华为-应用市场,Open 华为应用市场，download 抖音.,App Center
2024-10-30 10:45:51.440,华为-应用市场,Open 华为应用市场，download 抖音.,App Center
2024-10-30 10:46:26.058,国家反诈中心,Use WiFi万能钥匙 to connect to available free wireless networks.,Tool
2024-10-30 10:51:50.350,国家反诈中心,Use the UnionPay Trusted Service Security Component to perform secure payment verification.,Tool
2024-10-30 10:53:39.369,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 10:55:56.396,国家反诈中心,Use the file management app to move important files to the specified folder.,Tool
2024-10-30 11:01:33.895,国家反诈中心,Use a calculator for compound interest formula calculations.,Tool
2024-10-30 11:02:12.891,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 11:07:15.053,国家反诈中心,Use a calculator for compound interest formula calculations.,Tool
2024-10-30 11:13:48.561,国家反诈中心,Use WiFi万能钥匙 to connect to available free wireless networks.,Tool
2024-10-30 11:16:10.744,国家反诈中心,Use a calculator for compound interest formula calculations.,Tool
2024-10-30 11:18:29.865,荣耀-相机,Open the camera to take a family photo.,Take photo
2024-10-30 11:21:15.323,国家反诈中心,Use Huawei-文件管理 to organize and categorize the pictures and files on the phone.,Tool
2024-10-30 11:29:06.242,国家反诈中心,Use a calculator for compound interest formula calculations.,Tool
2024-10-30 11:30:13.842,荣耀-图库,Use the gallery for photo tone adjustments and special effects additions.,Image enhancement
2024-10-30 11:31:56.856,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 11:32:49.977,国家反诈中心,Use the warm color flashlight app to illuminate in dark environments.,Tool
2024-10-30 11:36:24.956,国家反诈中心,Use the UnionPay Trusted Service Security Component to perform secure payment verification.,Tool
2024-10-30 11:54:03.195,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 12:31:54.308,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-30 12:32:14.194,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 18:00:01.690,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-30 18:00:29.305,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 18:06:26.306,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-30 18:25:58.549,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 19:20:41.382,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 19:52:29.699,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 20:16:50.915,荣耀-计算器,Use the UnionPay Trusted Service Security Component to perform secure payment verification.,Tool
2024-10-30 21:13:15.005,荣耀-联系人,Open the contacts,Message
2024-10-30 21:19:06.775,华为-应用市场,Open 华为应用市场，download 抖音.,App Center
2024-10-30 21:31:06.861,荣耀-计算器,Open 百度网盘，browse the cloud drive folder '我的文件'.,Tool
2024-10-30 22:32:23.093,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 23:10:59.320,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 23:49:14.952,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-31 01:10:21.851,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-31 01:37:36.911,荣耀-计算器,Use 贴贴TieTie to draw the project flowchart.,Tool
2024-10-31 01:50:56.495,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-31 01:51:08.914,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-31 02:37:52.776,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-31 03:33:43.102,荣耀-计算器,Use the warm color flashlight app to illuminate in dark environments.,Tool
2024-10-31 03:35:46.636,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-31 03:38:42.439,抖音短视频,Open 抖音短视频.,Watch videos
